disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8
Acromegaly,body odour,enlarged tongue,facial feature changes (enlarged jaw/brow),sleep apnoea,vision problems,,,
Nephrotic Syndrome,loss of appetite,severe oedema (swelling),fatigue,high cholesterol,foamy urine (proteinuria),low albumin,weight gain from fluid,reduced urine output
Autism Spectrum Disorder,avoidance of eye contact,difficulty with change in routine,communication challenges,repetitive behaviours,sensory sensitivities,delayed speech,restricted interests,
Pulmonary Embolism,sudden shortness of breath,cough with blood,anxiety,low oxygen saturation,fainting,,,
Carpal Tunnel Syndrome,symptoms relieved by shaking hand,dropping objects,pain radiating up forearm,pain in wrist and hand,tingling and numbness in thumb and fingers,,,
Malignant Melanoma,multiple colours in mole,evolving mole,diameter >6 mm,irregular border mole,new pigmented skin lesion,,,
Portal Hypertension,oesophageal varices,jaundice,encephalopathy,anaemia,bleeding from varices,splenomegaly,dilated abdominal veins,
Crohn's Disease,diarrhoea,reduced appetite,abdominal pain (right lower),fatigue,nausea,fever,blood in stool,perianal fistula
Haemophilia A,internal bleeding,prolonged bleeding after surgery or dental work,excessive bleeding from minor cuts,bruising easily,spontaneous joint bleeds,joint pain and swelling,blood in urine,
Preeclampsia,decreased urine output,visual disturbances,upper right abdominal pain,headache,nausea,,,
Cholera,sudden vomiting,shock,muscle cramps,dry mouth,profuse watery diarrhoea (rice-water stools),,,
Neonatal Jaundice,dark urine,yellow soles of feet,yellow skin (jaundice) first appearing on face,poor feeding,excessive sleepiness,yellowing of whites of eyes,pale stools,
Raynaud's Disease,skin colour changes triggered by cold or stress,numbness and tingling in fingers,pain on rewarming,cold fingers and toes,,,,
Kawasaki Disease,high fever lasting more than 5 days,peeling skin on fingers,rash on trunk,strawberry tongue,swollen hands and feet,red eyes (conjunctivitis),,
Anaemia (Iron Deficiency),dizziness,headache,fatigue and weakness,restless legs,pica (craving non-food items),brittle nails,fast heartbeat,pallor
Influenza,severe headache,body aches,sudden high fever,sneezing,,,,
Gestational Diabetes,diagnosed via glucose tolerance test in pregnancy,often asymptomatic,increased thirst,blurred vision,,,,
Parkinson's Disease,postural instability,loss of automatic movements,depression,bradykinesia (slow movement),speech changes,,,
Heart Failure,shortness of breath,reduced exercise tolerance,swollen ankles and legs,rapid weight gain,fatigue,paroxysmal nocturnal dyspnoea,orthopnoea (breathlessness lying flat),
Onychomycosis (Nail Fungus),distorted nail shape,white spots under nail,yellow-brown discolouration,foul odour,,,,
Hypothermia,slow shallow breathing,loss of coordination,loss of consciousness (severe),drowsiness,slurred speech,confusion,shivering (mild),weak pulse
Rotator Cuff Injury,difficulty reaching behind back,reduced range of motion,clicking or popping in shoulder,shoulder pain worsening with arm raising,weakness in shoulder,,,
Asthma,chronic cough,wheezing,cough at night,mucus production,,,,
Raynaud's Disease,skin colour changes triggered by cold or stress,numbness and tingling in fingers,cold fingers and toes,fingers or toes turning white then blue then red on cold exposure,pain on rewarming,,,
Hyperthyroidism,sweating,rapid heartbeat,fatigue,diarrhoea,increased appetite,,,
Acute Respiratory Distress Syndrome,confusion,low oxygen levels,rapid breathing,hypoxaemia despite oxygen,cyanosis,bilateral lung infiltrates on X-ray,severe breathlessness,
Oral Candidiasis (Thrush),cotton-like sensation in mouth,loss of taste,white patches in mouth,difficulty swallowing,,,,
Urinary Tract Infection,cloudy urine,lower abdominal pain,frequent urination,urgency to urinate,chills,fever,,
Septic Shock,organ dysfunction,rapid heart rate,cold clammy skin,extremely low blood pressure,rapid breathing,confusion,,
Rabies,paralysis,fever,hydrophobia (fear of water),hallucinations,aerophobia,pain or tingling at bite site,,
Cervical Cancer,bleeding after intercourse,pelvic pain,pain during intercourse,post-menopausal bleeding,back or leg pain (advanced),abnormal vaginal bleeding,,
Amyotrophic Lateral Sclerosis,slurred speech,muscle cramps,muscle twitching,difficulty breathing,,,,
Dehydration,dark urine,confusion (severe),rapid heartbeat,decreased urine output,headache,,,
Cholera,dry mouth,muscle cramps,sunken eyes,reduced skin turgor,,,,
Typhoid Fever,constipation or diarrhoea,loss of appetite,abdominal pain,cough,,,,
Post-Traumatic Stress Disorder,concentration difficulty,nightmares,irritability,emotional numbness,sleep disturbances,hypervigilance,exaggerated startle response,flashbacks
Cystic Fibrosis,persistent cough with thick mucus,salty-tasting skin,digestive problems,fatty stools,frequent lung infections,poor growth,clubbing of fingers,
Gonorrhoea,sore throat (pharyngeal),often asymptomatic in women,vaginal discharge,pus-like urethral discharge,pelvic pain (women),testicular pain (men),painful urination,rectal pain
Breast Cancer,redness of breast skin,thickening of breast tissue,skin dimpling,nipple discharge,,,,
Muscular Dystrophy (Duchenne),respiratory failure (late),Gowers' sign,progressive muscle weakness (proximal first),calf pseudohypertrophy,frequent falls,learning difficulties,,
Cholecystitis,Murphy's sign positive,pain after fatty meal,jaundice (if bile duct blocked),right upper quadrant abdominal pain,vomiting,pain radiating to right shoulder,fever,
COVID-19,loss of taste,loss of smell,chest tightness,headache,dry cough,,,
Cholera,reduced skin turgor,sudden vomiting,rapid dehydration,muscle cramps,dry mouth,profuse watery diarrhoea (rice-water stools),shock,
Hypothermia,loss of consciousness (severe),loss of coordination,drowsiness,rigid muscles,shivering (mild),,,
Bronchitis,shortness of breath,cough with mucus,sore throat,low-grade fever,mild fever,chills,fatigue,
Thalassemia (Beta),bone deformities,enlarged liver and spleen,severe anaemia,jaundice,frequent infections,,,
Anorexia Nervosa,amenorrhoea,distorted body image,intense fear of weight gain,fatigue,dizziness,,,
Anaemia,cold hands and feet,irregular heartbeat,shortness of breath,pallor (pale skin),headache,fatigue,brittle nails,chest pain
Polycythemia Vera,blurred vision,blood clots,weight loss,redness of face,large spleen,sweating,headache,fatigue
Pulmonary Embolism,low oxygen saturation,sudden shortness of breath,leg swelling (DVT source),fainting,anxiety,rapid heartbeat,,
Stroke,sudden facial drooping,numbness one side of body,difficulty walking,arm weakness (one side),loss of balance,,,
Post-Traumatic Stress Disorder,flashbacks,sleep disturbances,avoidance of trauma reminders,nightmares,irritability,exaggerated startle response,hypervigilance,
Colon Cancer,weakness and fatigue,feeling that bowel doesn't empty completely,cramping,abdominal pain,,,,
Onychomycosis (Nail Fungus),nails separating from nail bed,brittle or crumbly nails,foul odour,yellow-brown discolouration,distorted nail shape,white spots under nail,thickened nails,
COVID-19,fever,diarrhoea,shortness of breath,fatigue,chest tightness,,,
Peptic Ulcer,pain relief after eating (duodenal),pain worsening after eating (gastric),bloating,weight loss,belching,vomiting,,
Eczema (Atopic Dermatitis),red rash,rash on inner elbows and knees,thickened skin,sleep disturbance due to itching,dry skin,,,
Schizophrenia,cognitive impairment,negative symptoms (flat affect),delusions,poor personal hygiene,agitation,hallucinations (hearing voices),disorganized speech,
Alcohol Use Disorder,giving up activities,inability to limit drinking,tolerance (needing more),continued use despite consequences,,,,
Plantar Fasciitis,tenderness at heel bone base,pain after prolonged standing,heel pain (especially first steps in morning),stiffness in foot,pain decreasing after walking but returning after rest,,,
COVID-19,headache,fever,body aches,chest tightness,dry cough,loss of smell,fatigue,sore throat
Crohn's Disease,abdominal pain (right lower),diarrhoea,weight loss,fatigue,fever,perianal fistula,blood in stool,mouth sores
Chronic Obstructive Pulmonary Disease,cyanosis (late),fatigue,weight loss,shortness of breath on exertion,,,,
Gout,warmth of joint,limited range of motion,swelling of affected joint,tophi under skin (chronic),,,,
Autism Spectrum Disorder,repetitive behaviours,communication challenges,sensory sensitivities,avoidance of eye contact,,,,
Scabies,pimple-like rash,itching between fingers,sores from scratching,burrow tracks in skin,,,,
Sickle Cell Disease,stroke symptoms,vision problems,swollen hands and feet (dactylitis),fatigue,,,,
Raynaud's Disease,fingers or toes turning white then blue then red on cold exposure,cold fingers and toes,skin colour changes triggered by cold or stress,pain on rewarming,,,,
Hyperthyroidism,nervousness,weight loss,heat intolerance,diarrhoea,fatigue,,,
Amyotrophic Lateral Sclerosis,muscle cramps,difficulty breathing,difficulty swallowing,slurred speech,,,,
Epiglottitis,drooling,difficulty swallowing,rapidly worsening sore throat,muffled voice ('hot potato' voice),anxiety/agitation,stridor,,
Addison's Disease,hyperpigmentation (bronze skin),dizziness,low blood pressure,nausea,fatigue,abdominal pain,weight loss,
Sinusitis,fatigue,facial pain or pressure,nasal congestion,loss of smell,,,,
Muscular Dystrophy (Duchenne),learning difficulties,respiratory failure (late),cardiomyopathy,waddling gait,difficulty walking,progressive muscle weakness (proximal first),,
Cataract,fading colours,frequent changes in glasses prescription,halos around lights,poor night vision,double vision in one eye,cloudy or blurred vision,sensitivity to light and glare,
Retinal Detachment,visual field loss,sudden flashes of light,sudden blurred vision,floaters,curtain shadow over vision,loss of central vision (macula detachment),,
Gastritis,nausea,belching,upper abdominal pain,feeling of fullness,vomiting,loss of appetite,,
Hyperthyroidism,increased appetite,heat intolerance,diarrhoea,nervousness,rapid heartbeat,sweating,,
Sickle Cell Disease,swollen hands and feet (dactylitis),fatigue,acute chest syndrome,delayed growth,"painful crises (bones, chest, joints)",,,
Cushing Syndrome,high blood sugar,weight gain (central obesity),stretch marks (purple striae),moon face,,,,
Amyotrophic Lateral Sclerosis,slurred speech,unintentional weight loss,emotional lability,progressive paralysis,muscle cramps,difficulty swallowing,,
Insomnia,non-restorative sleep,concentration difficulty,difficulty staying asleep,anxiety about sleep,,,,
Stroke,vision problems,loss of balance,sudden facial drooping,numbness one side of body,,,,
Ulcerative Colitis,weight loss,rectal bleeding,joint pain (extra-intestinal),bloody diarrhoea,fatigue,anaemia,fever (in flares),rectal pain
Ulcerative Colitis,anaemia,weight loss,urgency to defecate,rectal bleeding,fever (in flares),joint pain (extra-intestinal),rectal pain,
Heat Stroke,rapid breathing,confusion or altered consciousness,core body temperature >40°C,hot dry skin (no sweating),loss of consciousness,rapid heartbeat,headache,
Eczema (Atopic Dermatitis),sleep disturbance due to itching,intense itching,sensitive skin,weeping and crusting,dry skin,,,
Hemochromatosis,heart problems,bronze skin discolouration,fatigue,joint pain,,,,
Fatty Liver Disease (NAFLD),elevated cholesterol,abdominal fullness,fatigue,right upper abdominal discomfort,enlarged liver,elevated liver enzymes,usually asymptomatic,
Pneumonia,bluish lips,chest pain on breathing,sweating,productive cough,shortness of breath,chills,rapid breathing,fever
Colon Cancer,unexplained weight loss,blood in stool,iron deficiency anaemia,change in bowel habits,weakness and fatigue,rectal bleeding,,
Malignant Melanoma,asymmetric mole,new pigmented skin lesion,diameter >6 mm,multiple colours in mole,changing mole (ABCDE criteria),itching mole,,
Gastritis,dark stools,belching,indigestion,bloating,,,,
Hypertension,often asymptomatic,nosebleed,palpitations,chest pain,fatigue,blurred vision,shortness of breath,ringing in ears
Appendicitis,pain starting around navel migrating to right lower abdomen,fever,rebound tenderness at McBurney's point,rigidity of abdomen,nausea,loss of appetite,constipation or diarrhoea,
Athlete's Foot (Tinea Pedis),itching and burning between toes,cracking and peeling skin,blisters on foot,scaly rash between toes,dry flaky skin on sole,,,
Ringworm (Tinea Corporis),hair loss in patches (scalp),patches on scalp (tinea capitis),red borders of rash,expanding ring over time,ring-shaped scaly patches,,,
Colon Cancer,abdominal pain,cramping,feeling that bowel doesn't empty completely,unexplained weight loss,change in bowel habits,,,
Chronic Fatigue Syndrome,profound fatigue lasting >6 months,cognitive impairment,pain,orthostatic intolerance,flu-like symptoms,post-exertional malaise,,
Hypertension,nosebleed,blurred vision,fatigue,headache,palpitations,ringing in ears,,
Myocardial Infarction,shortness of breath,dizziness,palpitations,nausea,,,,
Kawasaki Disease,strawberry tongue,high fever lasting more than 5 days,red cracked lips,rash on trunk,swollen lymph nodes in neck,,,
Chronic Myeloid Leukemia,fever,weight loss,bone pain,easy bruising,fatigue,splenomegaly,,
Rotator Cuff Injury,clicking or popping in shoulder,weakness in shoulder,shoulder pain worsening with arm raising,difficulty reaching behind back,,,,
Anaemia,poor concentration,cold hands and feet,shortness of breath,fatigue,chest pain,irregular heartbeat,brittle nails,pallor (pale skin)
Bulimia Nervosa,use of laxatives or diuretics,calluses on knuckles,electrolyte imbalances,fasting after binges,swollen cheeks,teeth enamel erosion,episodes of binge eating,
Type 2 Diabetes,frequent urination,slow-healing wounds,frequent infections,blurred vision,fatigue,darkened skin in armpits,increased hunger,
Osteoporosis,loss of height over time,stooped posture,fractures with minor trauma,back pain from fractured vertebra,often asymptomatic until fracture,,,
Cholera,low blood pressure,sudden vomiting,dry mouth,shock,sunken eyes,muscle cramps,,
Kidney Stones,severe flank pain,blood in urine,cloudy urine,chills,burning urination,nausea,fever (if infected),frequent urination
Appendicitis,vomiting,pain starting around navel migrating to right lower abdomen,constipation or diarrhoea,loss of appetite,nausea,rigidity of abdomen,,
Premenstrual Syndrome,depression,fatigue,headache,sleep disturbances,irritability,breast tenderness,food cravings,
Psoriasis,shedding skin,nail pitting,burning sensation,thick silvery scales on skin,,,,
Pulmonary Embolism,anxiety,low oxygen saturation,cough with blood,leg swelling (DVT source),sudden shortness of breath,chest pain worsening with breathing,dizziness,
Coronary Artery Disease,fatigue,dizziness,shortness of breath on exertion,pain radiating to arm/jaw,chest tightness,chest pain (angina),,
Panic Disorder,racing heart,nausea,dizziness,chest pain,sweating,sudden intense fear,fear of dying,trembling
Bipolar Disorder,low mood and hopelessness (depression),psychosis (severe mania),grandiosity,episodes of mania (elevated mood),episodes of depression,reduced need for sleep (mania),impulsive behaviour,
Insomnia,early morning awakening,irritability,difficulty staying asleep,concentration difficulty,non-restorative sleep,,,
Portal Hypertension,ascites (fluid in abdomen),anaemia,dilated abdominal veins,bleeding from varices,,,,
Hearing Loss,turning up TV volume,difficulty understanding speech,asking others to repeat,ringing in ears,dizziness,trouble hearing high-pitched sounds,,
Raynaud's Disease,cold fingers and toes,numbness and tingling in fingers,fingers or toes turning white then blue then red on cold exposure,skin colour changes triggered by cold or stress,pain on rewarming,,,
Tuberculosis,fatigue,weight loss,loss of appetite,chronic productive cough,fever,chest pain,night sweats,
Food Poisoning,dehydration,blood in stool (severe),nausea,abdominal cramps,weakness,muscle aches,headache,vomiting
Chickenpox,rash starts on trunk spreads to face and limbs,itchy blister rash,spots that become blisters then crust,fatigue,loss of appetite,headache,fever,malaise
Myocardial Infarction,palpitations,chest pain radiating to left arm,loss of consciousness,sweating,,,,
Plantar Fasciitis,pain after prolonged standing,pain decreasing after walking but returning after rest,tenderness at heel bone base,heel pain (especially first steps in morning),stiffness in foot,,,
Cholera,sudden vomiting,low blood pressure,dry mouth,sunken eyes,shock,reduced skin turgor,profuse watery diarrhoea (rice-water stools),
Cataract,double vision in one eye,sensitivity to light and glare,poor night vision,cloudy or blurred vision,fading colours,halos around lights,frequent changes in glasses prescription,
Myocardial Infarction,sweating,jaw pain,dizziness,nausea,anxiety,crushing chest pain,shortness of breath,
Oral Candidiasis (Thrush),redness at corners of mouth (angular cheilitis),loss of taste,white patches in mouth,cotton-like sensation in mouth,difficulty swallowing,soreness inside mouth,,
HIV Infection,weight loss,night sweats,rash,sore throat,opportunistic infections (advanced),,,
Irritable Bowel Syndrome,symptoms triggered by stress,alternating diarrhoea and constipation,urgency,constipation,,,,
Common Cold,malaise,mild fever,runny nose,headache,sneezing,nasal congestion,loss of smell,
Crohn's Disease,perianal fistula,diarrhoea,mouth sores,blood in stool,weight loss,fatigue,,
Haemorrhoids,swelling around anus,leakage of faeces,prolapse of haemorrhoid,discomfort sitting,,,,
Epiglottitis,drooling,rapidly worsening sore throat,stridor,high fever,difficulty swallowing,muffled voice ('hot potato' voice),,
Heart Failure,persistent cough,rapid weight gain,paroxysmal nocturnal dyspnoea,fatigue,reduced exercise tolerance,shortness of breath,,
Haemophilia A,excessive bleeding from minor cuts,joint pain and swelling,spontaneous joint bleeds,bruising easily,blood in urine,prolonged bleeding after surgery or dental work,internal bleeding,
Anaemia,poor concentration,brittle nails,headache,dizziness,irregular heartbeat,pallor (pale skin),shortness of breath,cold hands and feet
Typhoid Fever,sustained fever,headache,loss of appetite,relative bradycardia,abdominal pain,,,
Attention Deficit Hyperactivity Disorder,easily distracted,hyperactivity,difficulty following instructions,talking excessively,,,,
Hearing Loss,dizziness,tinnitus,ringing in ears,turning up TV volume,muffled sounds,trouble hearing high-pitched sounds,asking others to repeat,
Narcolepsy,sudden muscle weakness (cataplexy),sleep paralysis,automatic behaviour,difficulty concentrating,,,,
Hypo-thyroidism,fatigue,dry skin,slow heart rate,constipation,,,,
Panic Disorder,shortness of breath,chest pain,fear of losing control,nausea,numbness or tingling,,,
Psoriasis,itching,thick silvery scales on skin,shedding skin,burning sensation,nail pitting,swollen joints (psoriatic arthritis),red patches covered with scales,dry cracked skin
Temporomandibular Joint Disorder,difficulty chewing,jaw pain,pain in and around ear,locking of jaw,,,,
Anorexia Nervosa,amenorrhoea,fatigue,cold intolerance,hair thinning,,,,
Anorexia Nervosa,bone weakness,distorted body image,fatigue,intense fear of weight gain,dizziness,,,
Polycythemia Vera,redness of face,large spleen,dizziness,fatigue,,,,
Malignant Melanoma,changing mole (ABCDE criteria),irregular border mole,new pigmented skin lesion,asymmetric mole,diameter >6 mm,multiple colours in mole,evolving mole,
Alzheimer's Disease,confusion with time/place,language difficulty,poor judgment,mood and personality changes,withdrawal from social activities,misplacing items,trouble with familiar tasks,memory loss affecting daily function
Pneumonia,bluish lips,productive cough,fever,fatigue,sweating,rapid breathing,,
Myocardial Infarction,loss of consciousness,sweating,chest pain radiating to left arm,nausea,jaw pain,crushing chest pain,dizziness,anxiety
Polycythemia Vera,fatigue,headache,sweating,blood clots,blurred vision,itching after bath/hot water,weight loss,dizziness
Lung Cancer,loss of appetite,fatigue,hoarseness,persistent cough,shortness of breath,coughing up blood,bone pain,chest pain
Hemochromatosis,joint pain,liver enlargement,impotence,hypogonadism,fatigue,abdominal pain,heart problems,
Major Depressive Disorder,changes in appetite,loss of interest,concentration difficulty,slowed thinking,sleep disturbances,persistent sadness,fatigue,
Scoliosis,fatigue,rib prominence on one side,uneven shoulders,uneven waist,back pain,,,
Alzheimer's Disease,language difficulty,difficulty problem solving,mood and personality changes,poor judgment,withdrawal from social activities,misplacing items,confusion with time/place,memory loss affecting daily function
Panic Disorder,sudden intense fear,trembling,shortness of breath,racing heart,numbness or tingling,fear of losing control,sweating,
Dengue Fever,low platelet count,pain behind eyes,fatigue,joint pain,loss of appetite,vomiting,nausea,mild bleeding gums
Polycystic Kidney Disease,blood in urine (haematuria),headache,back or flank pain,abdominal fullness,kidney stones,high blood pressure,urinary tract infections,kidney failure (late)
Whooping Cough (Pertussis),cyanosis during coughing fits,paroxysmal cough with 'whooping' sound,cough lasting >3 weeks,post-cough vomiting,apnoea in infants,runny nose,,
Asthma,cough at night,chest tightness,shortness of breath,wheezing,exercise-induced breathlessness,chronic cough,,
Coronary Artery Disease,chest tightness,palpitations,nausea,shortness of breath on exertion,sweating,chest pain (angina),,
Hyperthyroidism,diarrhoea,bulging eyes (Graves'),sweating,heat intolerance,nervousness,,,
Breast Cancer,nipple inversion,swollen lymph nodes in armpit,nipple discharge,breast lump,,,,
Huntington's Disease,personality changes,irritability,depression,involuntary movements (chorea),slurred speech,cognitive decline,balance difficulty,swallowing difficulty
Portal Hypertension,ascites (fluid in abdomen),encephalopathy,splenomegaly,anaemia,jaundice,oesophageal varices,bleeding from varices,dilated abdominal veins
Cataract,cloudy or blurred vision,sensitivity to light and glare,double vision in one eye,poor night vision,,,,
Acute Respiratory Distress Syndrome,cyanosis,hypoxaemia despite oxygen,rapid breathing,confusion,severe breathlessness,low oxygen levels,bilateral lung infiltrates on X-ray,extreme fatigue
Stroke,speech difficulty,loss of balance,numbness one side of body,sudden severe headache,vision problems,,,
Acute Respiratory Distress Syndrome,hypoxaemia despite oxygen,cyanosis,extreme fatigue,confusion,,,,
Polycystic Kidney Disease,headache,high blood pressure,urinary tract infections,abdominal fullness,kidney stones,back or flank pain,,
Cholecystitis,chills,jaundice (if bile duct blocked),nausea,vomiting,pain after fatty meal,fever,Murphy's sign positive,
Bipolar Disorder,psychosis (severe mania),grandiosity,reduced need for sleep (mania),impulsive behaviour,episodes of depression,,,
Septic Shock,extreme fatigue,decreased urine output,confusion,organ dysfunction,,,,
Cerebral Palsy,speech problems,intellectual disability,poor coordination,spasticity (muscle stiffness),weakness,abnormal gait,seizures,vision/hearing problems
Tetanus,muscle stiffness,rapid heartbeat,sweating,muscle spasms,fever,difficulty swallowing,,
Gastritis,dark stools,vomiting,feeling of fullness,belching,,,,
Chronic Fatigue Syndrome,orthostatic intolerance,flu-like symptoms,sensitivity to light and sound,profound fatigue lasting >6 months,post-exertional malaise,,,
Influenza,severe headache,sore throat,sneezing,dry cough,runny nose,congestion,chills,body aches
Osteoarthritis,tenderness on joint pressure,crackling or grating sound,fatigue,joint stiffness (especially morning),joint pain worsening with activity,joint swelling,reduced range of motion,bony growths at joint
Preeclampsia,oedema,headache,upper right abdominal pain,hypertension in pregnancy (BP >140/90),decreased urine output,visual disturbances,nausea,
Cataract,frequent changes in glasses prescription,poor night vision,halos around lights,double vision in one eye,sensitivity to light and glare,,,
