disease,medicine,dosage,precautions,severity
Amyotrophic Lateral Sclerosis,Riluzole,50 mg twice daily on empty stomach,Only FDA-approved disease-modifying drug (modest benefit); monitor LFTs every 3 months; nausea common; avoid alcohol; specialist neurology initiation,Severe
Insomnia,Melatonin,2 mg prolonged-release 1–2 hours before bedtime for up to 13 weeks,For circadian rhythm insomnia; relatively safe; may cause drowsiness; CBT-I more effective long-term,Mild
Peripheral Artery Disease,Clopidogrel,75 mg once daily (antiplatelet therapy),Reduces cardiovascular events; avoid with PPIs (especially omeprazole — reduced efficacy); check for active bleeding; may be combined with aspirin in some cases,Moderate
Heat Stroke,Rapid External Cooling (Cold Water Immersion),"Immerse in cold water (1–15°C) or apply ice packs to neck, axillae, groin; target temperature <38.5°C within 30 min",Medical emergency; call ambulance immediately; remove from heat; monitor core temperature; IV fluids for hypotension; avoid antipyretics (not effective for heat stroke),Critical
Pneumonia,Ceftriaxone IV,1–2 g IV/IM once daily for 5–10 days (severe),Hospitalisation required; check for cephalosporin allergy; monitor renal function,Severe
Cholera,Doxycycline,300 mg orally as single dose (adults),Reduces duration and severity; not for children under 8 or pregnant women; single dose effective; provide ORS alongside,Moderate
Peptic Ulcer,Omeprazole (PPI),20–40 mg once daily before breakfast for 4–8 weeks,Avoid long-term use without indication; monitor magnesium levels; may reduce clopidogrel efficacy,Moderate
Malignant Melanoma,Pembrolizumab (Keytruda),200 mg IV every 3 weeks or 400 mg every 6 weeks (advanced melanoma),"Immune-related adverse events (pneumonitis, colitis, hepatitis); monitor LFTs and TFTs; specialist oncology team; corticosteroids for immune toxicity",Critical
Coronary Artery Disease,Bisoprolol,2.5–10 mg once daily,Do not stop abruptly; contraindicated in acute decompensated heart failure and asthma; monitor heart rate and BP,Moderate
COVID-19,Paracetamol,500–1000 mg every 4–6 hours; max 4 g/day,For symptom relief; stay hydrated; isolate to prevent transmission,Mild
Athlete's Foot (Tinea Pedis),Terbinafine Cream 1%,Apply once or twice daily for 1–2 weeks,Dry feet thoroughly especially between toes; wear breathable socks; avoid sharing towels; treat shoes with antifungal powder,Mild
Influenza,Zanamivir (Relenza),10 mg (2 inhalations) twice daily for 5 days,Not recommended in patients with COPD/asthma; use bronchodilator before dosing,Moderate
Anorexia Nervosa,Nutritional Rehabilitation (NG Feeding),Gradual caloric increase: start 1200–1500 kcal/day; increase 500 kcal every 3–5 days,"Refeeding syndrome risk — monitor phosphate, potassium, magnesium; ECG monitoring; inpatient for BMI <13; multidisciplinary care",Severe
Oral Candidiasis (Thrush),Fluconazole,150 mg single dose or 50 mg once daily for 7–14 days,For moderate-severe or oesophageal candidiasis; many drug interactions; monitor LFTs; adjust dose in renal impairment,Moderate
Hepatitis A,Supportive Care (Rest and Hydration),Adequate fluid intake; rest until clinical improvement,No specific antiviral treatment; avoid alcohol; avoid hepatotoxic drugs; notify contacts for vaccination,Moderate
Cushing Syndrome,Ketoconazole (Cortisol Synthesis Inhibitor),200–400 mg two to three times daily,Hepatotoxic — monitor LFTs; multiple drug interactions; for Cushing's awaiting surgery; specialist endocrinology team only,Severe
Anaemia,Ferrous Sulfate (Iron Supplement),200 mg (65 mg elemental iron) two to three times daily on empty stomach,Take with vitamin C to improve absorption; causes dark stools; avoid with antacids/tea/coffee; constipation is common,Moderate
Osteoporosis,Denosumab (Prolia),60 mg subcutaneous injection every 6 months,Hypocalcaemia risk — ensure adequate calcium/vitamin D; dental work before starting; do not stop abruptly (rebound fracture risk),Moderate
Bipolar Disorder,Lithium Carbonate,400–1200 mg/day in 2–3 divided doses (target level 0.6–1.0 mmol/L),Narrow therapeutic index; regular serum level monitoring; renal and thyroid function checks; teratogenic; adequate hydration essential,Severe
Dengue Fever,Oral Rehydration Salts (ORS),200–400 mL after each loose stool or as directed,Do not give aspirin; watch for warning signs of severe dengue; rest completely,Moderate
Polycythemia Vera,Aspirin (Low Dose),75–100 mg once daily,Reduces thrombotic risk; avoid if platelet <50×10⁹/L; GI protection with PPI if history of peptic ulcer,Mild
Coronary Artery Disease,Atorvastatin,40–80 mg once daily at night,Monitor LFTs and CK; avoid grapefruit juice; report muscle pain; LDL target <1.8 mmol/L in high risk patients,Moderate
Panic Disorder,Sertraline,25–200 mg once daily,First-line; start low (may initially worsen anxiety); allow 4–6 weeks; combine with CBT; do not stop abruptly,Moderate
Pancreatitis,IV Fluid Resuscitation (Lactated Ringer's),250–500 mL/hr initially; titrate to urine output >0.5 mL/kg/hr,Hospitalisation mandatory; NPO (nil by mouth); pain management; monitor renal function and electrolytes,Severe
Athlete's Foot (Tinea Pedis),Miconazole Cream 2%,Apply twice daily for 4 weeks,External use only; keep foot dry; cotton socks recommended; treat interdigital spaces thoroughly,Mild
Scabies,Ivermectin (Oral),200 mcg/kg single dose; repeat after 2 weeks (severe/crusted scabies),Systemic option; not for children <15 kg or pregnant women; crusted scabies needs combined topical and oral treatment,Mild
Haemophilia A,Factor VIII Concentrate (Recombinant),Minor bleeds: 10–20 IU/kg; Major bleeds: 25–40 IU/kg IV; prophylaxis: 25–40 IU/kg 3×/week,Specialist haematology care; monitor factor levels; risk of inhibitor development; HIV/hepatitis testing historically important; haemophilia treatment centre,Severe
Anaphylaxis,Hydrocortisone IV,200 mg IV (after adrenaline),Prevents biphasic anaphylaxis; adjunct to adrenaline; observe for minimum 6 hours after reaction,Critical
Type 2 Diabetes,Insulin Glargine,0.2 units/kg subcutaneously once daily at bedtime (titrate),Monitor blood glucose 3–4×/day; rotate injection sites; risk of hypoglycaemia,Severe
Sciatica,Epidural Steroid Injection,Methylprednisolone 40–80 mg epidural injection; up to 3 injections per year,Specialist pain clinic; short-term benefit; risk of rare neurological complications; monitor glucose in diabetics; does not fix underlying cause,Moderate
Cystic Fibrosis,Pancreatic Enzyme Replacement (Creon),"10,000–25,000 units of lipase with each meal; titrate to stool consistency",Take at start of meal; do not crush; high-dose may cause fibrosing colonopathy; adequate fluid intake,Moderate
Sinusitis,Amoxicillin-Clavulanate,875/125 mg twice daily for 10–14 days (bacterial sinusitis),Only for bacterial sinusitis; avoid overuse; check penicillin allergy; take with food to reduce GI effects,Moderate
Alcohol Use Disorder,Naltrexone,50 mg once daily orally (or 380 mg IM monthly),Opioid antagonist — do not use if on opioids; hepatotoxicity risk — monitor LFTs; not effective unless motivated to stop,Moderate
Parkinson's Disease,Levodopa/Carbidopa,100/25 mg three times daily; titrate as needed,Take on empty stomach for best absorption; nausea common initially; long-term motor fluctuations; avoid protein meals near dose,Severe
Malaria,IV Artesunate,"2.4 mg/kg IV at 0, 12, 24 h then daily",Severe/cerebral malaria; hospitalisation required; monitor haemoglobin and renal function,Critical
Hepatitis A,Paracetamol (low dose for discomfort),325–500 mg every 4–6 hours; max 2 g/day in hepatic disease,Use minimum effective dose; avoid alcohol completely; monitor liver enzymes,Mild
Urinary Tract Infection,Trimethoprim-Sulfamethoxazole,160/800 mg twice daily for 3–7 days,Check local resistance patterns; avoid in G6PD deficiency; monitor renal function; adequate hydration,Mild
Attention Deficit Hyperactivity Disorder,Atomoxetine (Non-stimulant),0.5 mg/kg/day for 4 weeks then 1.2 mg/kg/day (max 100 mg),Non-stimulant — no abuse potential; allow 4–8 weeks for effect; suicidal ideation risk — monitor; liver toxicity — monitor LFTs; not PRN,Moderate
Crohn's Disease,Mesalazine (5-ASA),2–4 g/day in 2–4 divided doses (mild colonic disease),Annual renal function check; monitor blood counts; main role in colonic Crohn's; less effective in small bowel disease,Moderate
Gonorrhoea,Ceftriaxone IM,500 mg IM as single dose (uncomplicated gonorrhoea),Dual therapy no longer routine in many guidelines; test for cure in pharyngeal gonorrhoea; trace and treat contacts,Moderate
HIV Infection,Tenofovir/Emtricitabine/Dolutegravir (TLD),1 tablet once daily,First-line ART; monitor renal function; excellent tolerability; taken lifelong; maintain adherence >95%,Severe
Rotator Cuff Injury,Subacromial Corticosteroid Injection,Triamcinolone 40 mg + local anaesthetic into subacromial space,Max 3 injections per year; physiotherapy essential alongside; brief initial pain increase possible; does not repair torn tendon,Mild
Stroke,Alteplase (tPA),0.9 mg/kg IV (max 90 mg); 10% bolus then remainder over 60 min (ischaemic stroke),Must be given within 4.5 h of symptom onset; contraindicated in haemorrhagic stroke; strict BP monitoring,Critical
Crohn's Disease,Azathioprine (Immunosuppressant),2–2.5 mg/kg/day (maintenance of remission),Check TPMT enzyme before starting; monitor CBC monthly; avoid sun exposure; risk of lymphoma with long use,Moderate
Septic Shock,Norepinephrine (Noradrenaline),0.1–2 mcg/kg/min IV infusion (vasopressor of choice),ICU requirement; central venous catheter; titrate to MAP >65 mmHg; monitor for tissue ischaemia; arterial line for BP monitoring,Critical
Chronic Obstructive Pulmonary Disease,Salmeterol/Fluticasone (LABA/ICS),50/500 mcg 1 puff twice daily (Seretide),Rinse mouth after use to prevent oral thrush; not for rescue use; increases pneumonia risk in COPD; bone density monitoring with prolonged use,Moderate
Cirrhosis,Propranolol (Varices Prophylaxis),20–40 mg twice daily; titrate as above,Reduces portal pressure; contraindicated in spontaneous bacterial peritonitis treatment phase; monitor for hepatic encephalopathy worsening,Severe
Acromegaly,Octreotide LAR (Somatostatin Analogue),20–30 mg IM every 4 weeks,Pituitary surgery first-line; SSA if surgery incomplete/refused; gallstone formation risk; monitor GH and IGF-1 levels; GI side effects initially,Severe
Hyperthyroidism,Propranolol,40 mg two to four times daily for symptomatic control,Relieves palpitations and tremor while awaiting antithyroid effect; contraindicated in asthma; do not stop abruptly,Mild
Typhoid Fever,Azithromycin,500 mg once daily for 7 days (uncomplicated; resistance concerns),Confirm Salmonella typhi sensitivity; monitor for complications; adequate rest and hydration; do not return to food handling until negative stool cultures,Moderate
Hepatitis C,Glecaprevir/Pibrentasvir (Maviret),"300/120 mg (3 tablets) once daily with food for 8 weeks (treatment-naive, no cirrhosis)",Take with food; avoid amiodarone; monitor for hepatic decompensation; check drug interactions,Severe
Fatty Liver Disease (NAFLD),Pioglitazone (Diabetic NASH),30 mg once daily,For NASH with type 2 diabetes; risk of fluid retention and heart failure; bladder cancer concern — monitor; fracture risk in women; weight gain common,Moderate
Ulcerative Colitis,Prednisolone (for flares),40 mg once daily for 4 weeks then taper by 5 mg/week,Short-term use for flares; not for long-term maintenance; bone protection; monitor glucose and BP,Moderate
Scoliosis,Ibuprofen (Pain Management),400–600 mg three times daily with food,For pain relief only; does not correct curve; bracing for 25–45 degree curves; surgery for >45 degrees; physiotherapy essential,Mild
Common Cold,Cetirizine,10 mg once daily,May cause drowsiness; avoid alcohol; reduce dose in renal impairment,Mild
Endometriosis,Leuprorelin (GnRH Agonist),3.75 mg IM monthly injection for 3–6 months,Menopausal side effects; bone loss with prolonged use — add back therapy; expensive; pain returns after stopping,Moderate
Vertigo (Benign Paroxysmal Positional),Epley Manoeuvre (Canalith Repositioning),Series of 4 head positions held 30 seconds each; 1–2 times daily until symptoms resolve,Performed by trained clinician; avoid bending or lying flat for 48 h after; 80% effective; highly effective for posterior canal BPPV,Mild
Ringworm (Tinea Corporis),Clotrimazole Cream 1%,Apply thinly to affected area 2–3 times daily for 2–4 weeks,Continue 1–2 weeks after clearance to prevent recurrence; avoid sharing clothing/towels; wash affected areas daily,Mild
Osteoporosis,Calcium Carbonate + Vitamin D3,Calcium 1000–1200 mg/day + Vitamin D 800–2000 IU/day (divided doses),Take calcium with food for better absorption; monitor serum calcium and urine calcium; kidney stone risk with high doses,Mild
Dengue Fever,Paracetamol (Acetaminophen),500–1000 mg every 4–6 hours; max 4 g/day,Avoid aspirin and NSAIDs; stay well-hydrated; monitor platelet count daily,Moderate
Meningitis,Dexamethasone IV,0.15 mg/kg IV every 6 hours for 4 days (start before or with first antibiotic dose),Reduces inflammation and hearing loss risk; most benefit in pneumococcal meningitis; monitor blood glucose,Critical
Migraine,Naproxen Sodium,500 mg at onset; may repeat 500 mg after 1 h; max 1000 mg/day,Avoid in renal impairment; take with food; avoid in GI bleeding history,Moderate
Haemophilia A,Desmopressin (DDAVP),0.3 mcg/kg IV or SC; or 300 mcg intranasal (mild haemophilia A only),Suitable for mild cases only; test response before using; risk of hyponatraemia; limit fluid intake after dose; max 3 doses in 48 hours,Moderate
Deep Vein Thrombosis,Rivaroxaban (DOAC),"15 mg twice daily with food for 21 days, then 20 mg once daily with food for at least 3 months",Avoid in severe renal failure; no routine monitoring; withhold before procedures; do not stop abruptly; no antidote available,Moderate
Heart Failure,Furosemide (Loop Diuretic),20–80 mg once or twice daily (titrate to symptoms),"Monitor electrolytes (K+, Na+, Mg2+); daily weight monitoring; risk of dehydration; supplement potassium if needed",Severe
Peptic Ulcer,Triple Therapy (H. pylori),Omeprazole 20 mg + Clarithromycin 500 mg + Amoxicillin 1 g — all twice daily for 7–14 days,Complete full course; side effects include diarrhoea and metallic taste; confirm H. pylori eradication after treatment,Moderate
Celiac Disease,Strict Gluten-Free Diet (Primary Treatment),"Complete elimination of wheat, barley, rye — lifelong",No medication replaces GFD; dietician referral; check labels for hidden gluten; oats cross-contamination risk; annual nutritional monitoring,Moderate
Sickle Cell Disease,Hydroxyurea,15–35 mg/kg/day (titrate to maximum tolerated dose),Increases fetal haemoglobin; monitor CBC every 4–8 weeks; teratogenic; contraception required; reduce dose if neutrophil count drops,Severe
Osteoarthritis,Ibuprofen,400–800 mg three times daily with food,"Avoid in peptic ulcer disease, cardiovascular disease, renal disease; add PPI (omeprazole) to protect stomach",Moderate
Heart Failure,Spironolactone,25–50 mg once daily,Monitor potassium (hyperkalaemia risk); avoid with ACE inhibitor + ARB combination; monitor renal function,Moderate
Systemic Lupus Erythematosus,Prednisolone,0.5–1 mg/kg/day for flares; taper over weeks,"Bone protection with calcium and vitamin D; monitor blood glucose, BP, bone density; avoid long-term high doses",Severe
Common Cold,Pseudoephedrine,60 mg every 4–6 hours; max 240 mg/day,"Avoid in hypertension, heart disease; may cause insomnia; limit caffeine",Mild
Colon Cancer,Bevacizumab (VEGF Inhibitor),5 mg/kg IV every 2 weeks (with FOLFOX),GI perforation risk; wound healing impaired (withhold 4 weeks before/after surgery); hypertension; proteinuria — monitor urine; arterial thromboembolism risk,Critical
Meningitis,Ceftriaxone IV,2 g IV every 12 hours (adults); 100 mg/kg/day in children (bacterial meningitis),Medical emergency — hospitalisation essential; start immediately after blood cultures; do not delay for LP if brain herniation risk,Critical
Epilepsy,Levetiracetam,500–1500 mg twice daily,Monitor for mood changes and irritability; safe in renal disease (dose adjust); fewer drug interactions,Moderate
Cirrhosis,Lactulose (Hepatic Encephalopathy),15–30 mL twice to four times daily; titrate to 2–3 soft bowel movements per day,Reduces ammonia absorption; diarrhoea is dose-limiting; electrolyte monitoring; rifaximin 550 mg BD added for recurrent encephalopathy,Severe
Epilepsy,Carbamazepine,200–1200 mg/day in 2–4 divided doses,Monitor blood count (aplastic anaemia risk); many drug interactions; hyponatraemia risk; test for HLA-B*1502 in Asian patients,Moderate
Multiple Sclerosis,Interferon Beta-1a (Avonex),30 mcg IM once weekly,Disease-modifying therapy; flu-like reactions (premedicate with ibuprofen); monitor LFTs and CBC every 6 months; depression monitoring,Severe
Lung Cancer,Osimertinib (EGFR inhibitor),80 mg once daily (EGFR-mutated NSCLC),Require EGFR mutation testing; monitor for interstitial lung disease; QT prolongation risk; check drug interactions,Critical
Cholecystitis,Ceftriaxone + Metronidazole IV,Ceftriaxone 2 g IV once daily + Metronidazole 500 mg IV every 8 hours,Cholecystectomy (surgical removal) is definitive; antibiotics for acute infection; NPO (nil by mouth); IV fluids; ERCP if choledocholithiasis present; pain control with ketorolac,Severe
Diverticulitis,Amoxicillin-Clavulanate,875/125 mg twice daily for 7–10 days (uncomplicated outpatient),"For mild uncomplicated cases — clear fluid diet and rest; hospitalise if fever >38.5°C, severe pain, or immunocompromised; follow up colonoscopy after 6–8 weeks",Moderate
Addison's Disease,Fludrocortisone (Mineralocorticoid),0.05–0.2 mg once daily,Monitor blood pressure and potassium; increase salt intake; dose adjust in hot weather (sweat losses); lifelong treatment,Severe
Acute Respiratory Distress Syndrome,Low Tidal Volume Ventilation (Lung Protective),6 mL/kg ideal body weight; PEEP titrated to oxygenation; FiO2 minimised to maintain SpO2 88–95%,Mechanical ventilation in ICU; prone positioning for severe ARDS; neuromuscular blockade for early severe ARDS; conservative fluid strategy; specialist intensivist,Critical
Osteoporosis,Alendronate (Bisphosphonate),70 mg once weekly on empty stomach with full glass of water,Remain upright for 30 min after dose; do not crush; risk of oesophageal irritation; dental check before starting; atypical femur fracture risk,Moderate
Sinusitis,Mometasone Nasal Spray,2 sprays per nostril once daily,Tilt head forward when spraying; rinse mouth after use; allow 1–2 weeks for full effect,Mild
Sleep Apnea,Modafinil,100–200 mg once daily in the morning (residual sleepiness),"Adjunct only; does not treat underlying apnoea; may cause headache, anxiety; avoid in cardiovascular disease; controlled drug",Mild
Tuberculosis,Pyridoxine (Vitamin B6),25–50 mg once daily (given with isoniazid),Prevents isoniazid-induced peripheral neuropathy; take throughout TB treatment,Moderate
Type 2 Diabetes,Empagliflozin (SGLT-2),10–25 mg once daily in the morning,Risk of UTI and DKA; hold before major surgery; adequate hydration; genital hygiene,Moderate
Asthma,Salbutamol (Albuterol) Inhaler,100–200 mcg (1–2 puffs) as needed up to 4 times/day,Overuse indicates poor control; rinse mouth after use; avoid triggers such as smoke and allergens,Moderate
Gout,Colchicine,1 mg orally then 0.5 mg after 1 hour; max 1.5 mg per attack,Effective if started early; GI side effects (diarrhoea); reduce dose in renal impairment; multiple drug interactions,Moderate
Cushing Syndrome,Metyrapone,500–1000 mg every 4–6 hours (titrate to serum cortisol),Adrenal enzyme inhibitor; pituitary surgery is first-line for Cushing's disease; monitor cortisol and ACTH; risk of adrenal insufficiency; monitor BP (mineralocorticoid excess),Severe
Polycystic Kidney Disease,Tolvaptan (Vasopressin Receptor Antagonist),45–120 mg/day in divided doses (morning-weighted); titrate monthly,Slows kidney cyst growth; serious hepatotoxicity — monthly LFTs; thirst and polyuria (mechanism of action); avoid with strong CYP3A4 inhibitors; specialist nephrology only,Severe
Atrial Fibrillation,Apixaban (DOAC),"5 mg twice daily (2.5 mg BD if 2 of 3 criteria: age>80, weight<60 kg, creatinine>133)",Stroke prevention; no routine monitoring; avoid in severe renal failure; withhold before procedures; do not abruptly stop,Moderate
Obsessive-Compulsive Disorder,Clomipramine (Tricyclic),25–250 mg once daily at bedtime,Most effective TCA for OCD; monitor ECG (QT prolongation); anticholinergic side effects; overdose dangerous — monitor in suicidal patients,Moderate
Anaemia,Folic Acid,5 mg once daily for 4 months (folate deficiency anaemia),Identify and treat underlying cause; essential in pregnancy; mask vitamin B12 deficiency if not co-treated,Mild
Osteoarthritis,Paracetamol,500–1000 mg every 4–6 hours; max 4 g/day (first-line),Safest analgesic for OA; avoid in liver disease; regular scheduled dosing better than PRN,Mild
Syphilis,Doxycycline,100 mg twice daily for 14 days (penicillin allergy),Avoid in pregnancy; take with full glass of water; photosensitivity risk; do not lie down for 30 minutes after,Moderate
Hemochromatosis,Deferasirox (Iron Chelation),10–20 mg/kg/day orally (when phlebotomy not tolerated),Used when phlebotomy contraindicated (anaemia); monitor renal and hepatic function; GI irritation; annual ophthalmic check,Moderate
Alzheimer's Disease,Memantine,"5 mg once daily, titrate by 5 mg/week to 20 mg/day in divided doses",For moderate-to-severe AD; reduce dose in renal impairment; may be combined with donepezil; monitor cognition,Severe
Chronic Obstructive Pulmonary Disease,Prednisolone (oral — exacerbation),30–40 mg once daily for 5 days,For exacerbations only; short course; monitor blood glucose; do not use long-term orally without specialist guidance,Severe
Meningitis,Acyclovir IV,10 mg/kg IV every 8 hours for 14–21 days (viral/herpetic),Adequate hydration; monitor renal function; start empirically pending HSV PCR result,Severe
Gastritis,Pantoprazole,40 mg once daily before meals for 4–8 weeks,Long-term use associated with C. diff risk; monitor magnesium; may affect absorption of some drugs,Moderate
Thalassemia (Beta),Deferasirox (Iron Chelation),14–28 mg/kg/day orally once daily on empty stomach,Monitor renal and hepatic function monthly; audiological and ophthalmic monitoring; GI irritation; not in infants,Severe
Conjunctivitis,Olopatadine Eye Drops 0.1%,1 drop in each eye twice daily (allergic conjunctivitis),Remove contact lenses before instilling; wait 10 min before reinserting lenses; avoid rubbing eyes,Mild
Chronic Myeloid Leukemia,Dasatinib,100 mg once daily (first or second line),Pleural effusion risk; pulmonary hypertension; monthly monitoring; many drug and food interactions; second generation TKI,Severe
Peptic Ulcer,Sucralfate,1 g four times daily on an empty stomach,Take 1 hour before meals; separate from other medications by 2 hours; constipation is common side effect,Mild
Narcolepsy,Modafinil,100–400 mg in the morning or divided morning and noon,"Controlled drug; may cause headache, nausea; many drug interactions; does not cure narcolepsy; avoid alcohol",Moderate
Nephrotic Syndrome,Prednisolone (Minimal Change Disease),60 mg/m²/day (children; max 80 mg/day) for 4 weeks then alternate day for 4 weeks,Monitor blood pressure and glucose; bone protection; complete remission in 90% of minimal change disease in children; monitor for infection,Moderate
Hemochromatosis,Phlebotomy (Venesection),500 mL blood weekly until ferritin <50 ng/mL; then 4–6 times per year for maintenance,Definitive treatment; early treatment prevents organ damage; monitor serum ferritin and haematocrit; family screening essential (HFE gene testing),Moderate
Pulmonary Embolism,Rivaroxaban (DOAC),"15 mg twice daily with food for 21 days, then 20 mg once daily with food",No loading dose injection required; monitor renal function; avoid in pregnancy; withhold before surgery; do not stop without advice,Severe
COVID-19,Dexamethasone,6 mg once daily for up to 10 days (oxygen-requiring patients),Only for patients requiring oxygen; risk of secondary infections; hyperglycaemia monitoring,Severe
Temporomandibular Joint Disorder,Diazepam (Short-term Muscle Relaxant),2–5 mg at bedtime for 2–4 weeks (muscle spasm),Short-term only; dependence risk; do not drive; avoid alcohol; night-time bite guard (dental splint) primary management,Mild
Sickle Cell Disease,Penicillin V (Prophylaxis),125 mg twice daily (under 3 years); 250 mg twice daily (over 3 years),Lifelong prophylaxis against pneumococcal infection; check penicillin allergy; ensure pneumococcal vaccination also given,Moderate
Fatty Liver Disease (NAFLD),Vitamin E (800 IU/day),800 IU once daily (non-diabetic NASH),Antioxidant; modest benefit in non-cirrhotic non-diabetic NASH; avoid in cardiovascular disease (possible increased haemorrhagic stroke); long-term safety uncertain,Mild
Hepatitis C,Sofosbuvir/Velpatasvir (Epclusa),400/100 mg once daily for 12 weeks,Highly effective pan-genotypic treatment; check drug interactions; avoid in severe renal impairment; test for HBV before starting,Severe
Coronary Artery Disease,Aspirin,75–100 mg once daily indefinitely,Antiplatelet; take with food; avoid if active GI bleeding; add PPI if GI risk; lifelong therapy,Moderate
Systemic Lupus Erythematosus,Mycophenolate Mofetil,1000–3000 mg/day in 2 divided doses (lupus nephritis),Teratogenic — effective contraception required; monitor blood counts and LFTs monthly; GI side effects,Severe
Allergic Rhinitis,Loratadine,10 mg once daily,Non-sedating; safe in pregnancy class B; take at same time each day; avoid known allergens,Mild
Schizophrenia,Olanzapine,5–20 mg once daily at bedtime,"Significant weight gain and metabolic syndrome risk; monitor blood glucose, lipids; QT prolongation; sedating",Severe
Bipolar Disorder,Quetiapine,50–800 mg/day (mania) or 50–300 mg/day (depression),"Metabolic side effects — monitor weight, glucose, lipids; sedating; risk of QT prolongation; orthostatic hypotension",Moderate
Allergic Rhinitis,Cetirizine,10 mg once daily,May cause mild drowsiness; avoid alcohol; reduce dose in renal impairment; safe from age 2,Mild
Rabies,Rabies Post-Exposure Prophylaxis (PEP),"Rabies immunoglobulin (RIG) infiltrated at bite site + 4-dose rabies vaccine on days 0, 3, 7, 14",ALWAYS wash wound with soap and water for 15 min immediately; PEP must be given before symptoms develop; once symptomatic rabies is nearly 100% fatal; give HRIG on day 0 only at bite site,Critical
Migraine,Topiramate (preventive),"25 mg at night, titrate to 50–100 mg twice daily over weeks",Cognitive side effects; kidney stone risk; adequate hydration; avoid in pregnancy,Moderate
Eczema (Atopic Dermatitis),Tacrolimus Ointment 0.1%,Apply thinly twice daily until lesion clear (adults),Calcineurin inhibitor — no skin atrophy; burning on application initially; avoid UV exposure; good for face and skin folds,Moderate
Alzheimer's Disease,Donepezil (Cholinesterase Inhibitor),"5 mg at bedtime for 4 weeks, then 10 mg at bedtime","Symptomatic treatment only; may cause vivid dreams, diarrhoea, nausea; take at bedtime to reduce side effects",Severe
Multiple Sclerosis,Methylprednisolone (Relapse),1 g IV once daily for 3–5 days,Shortens relapse duration but does not alter long-term outcome; monitor glucose and BP; psychiatric side effects; no food 2 h after infusion,Severe
Urinary Tract Infection,Nitrofurantoin,100 mg (modified release) twice daily for 5 days,Not effective for upper UTI; avoid in renal impairment (eGFR<45); may cause pulmonary reactions; take with food,Mild
Appendicitis,Metronidazole IV,500 mg IV every 8 hours (pre- and post-operative),Used alongside cephalosporin for anaerobic coverage; avoid alcohol; monitor LFTs,Severe
